type time node value
residual 0 0 25.000000000 
consumption_radio 0 0 0 
consumption_consumer 0 0 0 
residual 30102000000 0 24.976666667 
voltage 30102000000 0 2.958024824 
voltage_min 30102000000 0 2.399766667 
voltage_max 30102000000 0 3.000000000 
residual 60202000000 0 24.953333333 
voltage 60202000000 0 2.957788702 
voltage_min 60202000000 0 2.399533333 
voltage_max 60202000000 0 2.999765000 
residual 90302000000 0 24.930000000 
voltage 90302000000 0 2.957555368 
voltage_min 90302000000 0 2.399300000 
voltage_max 90302000000 0 2.999531667 
residual 120402000000 0 24.906666667 
voltage 120402000000 0 2.957322035 
voltage_min 120402000000 0 2.399066667 
voltage_max 120402000000 0 2.999298333 
residual 150502000000 0 24.883333333 
voltage 150502000000 0 2.957088702 
voltage_min 150502000000 0 2.398833333 
voltage_max 150502000000 0 2.999065000 
residual 180602000000 0 24.860000000 
voltage 180602000000 0 2.956855368 
voltage_min 180602000000 0 2.398600000 
voltage_max 180602000000 0 2.998831667 
residual 210702000000 0 24.836666667 
voltage 210702000000 0 2.956622035 
voltage_min 210702000000 0 2.398366667 
voltage_max 210702000000 0 2.998598333 
residual 240802000000 0 24.813333333 
voltage 240802000000 0 2.956388702 
voltage_min 240802000000 0 2.398133333 
voltage_max 240802000000 0 2.998365000 
residual 270902000000 0 24.790000000 
voltage 270902000000 0 2.956155368 
voltage_min 270902000000 0 2.397900000 
voltage_max 270902000000 0 2.998131667 
residual 301002000000 0 24.766666667 
voltage 301002000000 0 2.955922035 
voltage_min 301002000000 0 2.397666667 
voltage_max 301002000000 0 2.997898333 
residual 331102000000 0 24.743333333 
voltage 331102000000 0 2.955688702 
voltage_min 331102000000 0 2.397433333 
voltage_max 331102000000 0 2.997665000 
residual 361202000000 0 24.720000000 
voltage 361202000000 0 2.955455368 
voltage_min 361202000000 0 2.397200000 
voltage_max 361202000000 0 2.997431667 
residual 391302000000 0 24.696666667 
voltage 391302000000 0 2.955225025 
voltage_min 391302000000 0 2.397000000 
voltage_max 391302000000 0 2.997198333 
residual 421402000000 0 24.673333333 
voltage 421402000000 0 2.955169100 
voltage_min 421402000000 0 2.397538095 
voltage_max 421402000000 0 2.996965000 
residual 451502000000 0 24.650000000 
voltage 451502000000 0 2.955214837 
voltage_min 451502000000 0 2.401304762 
voltage_max 451502000000 0 2.996731667 
residual 481602000000 0 24.626666667 
voltage 481602000000 0 2.955260573 
voltage_min 481602000000 0 2.405071429 
voltage_max 481602000000 0 2.996498333 
residual 511702000000 0 24.603333333 
voltage 511702000000 0 2.955306310 
voltage_min 511702000000 0 2.408838095 
voltage_max 511702000000 0 2.996265000 
residual 541802000000 0 24.580000000 
voltage 541802000000 0 2.955352046 
voltage_min 541802000000 0 2.412604762 
voltage_max 541802000000 0 2.996031667 
residual 571902000000 0 24.556666667 
voltage 571902000000 0 2.955397782 
voltage_min 571902000000 0 2.416371429 
voltage_max 571902000000 0 2.995798333 
residual 602002000000 0 24.533333333 
voltage 602002000000 0 2.955443519 
voltage_min 602002000000 0 2.420138095 
voltage_max 602002000000 0 2.995565000 
residual 632102000000 0 24.510000000 
voltage 632102000000 0 2.955489255 
voltage_min 632102000000 0 2.423904762 
voltage_max 632102000000 0 2.995331667 
residual 662202000000 0 24.486666667 
voltage 662202000000 0 2.955534992 
voltage_min 662202000000 0 2.427671429 
voltage_max 662202000000 0 2.995098333 
residual 692302000000 0 24.463333333 
voltage 692302000000 0 2.955580728 
voltage_min 692302000000 0 2.431438095 
voltage_max 692302000000 0 2.994865000 
residual 722402000000 0 24.440000000 
voltage 722402000000 0 2.955626465 
voltage_min 722402000000 0 2.435204762 
voltage_max 722402000000 0 2.994631667 
residual 752502000000 0 24.416666667 
voltage 752502000000 0 2.955672201 
voltage_min 752502000000 0 2.438971429 
voltage_max 752502000000 0 2.994398333 
residual 782602000000 0 24.393333333 
voltage 782602000000 0 2.955717937 
voltage_min 782602000000 0 2.442738095 
voltage_max 782602000000 0 2.994165000 
residual 812702000000 0 24.370000000 
voltage 812702000000 0 2.955763674 
voltage_min 812702000000 0 2.446504762 
voltage_max 812702000000 0 2.993931667 
residual 842802000000 0 24.346666667 
voltage 842802000000 0 2.955809410 
voltage_min 842802000000 0 2.450271429 
voltage_max 842802000000 0 2.993698333 
residual 872902000000 0 24.323333333 
voltage 872902000000 0 2.955855147 
voltage_min 872902000000 0 2.454038095 
voltage_max 872902000000 0 2.993465000 
residual 903002000000 0 24.300000000 
voltage 903002000000 0 2.955900883 
voltage_min 903002000000 0 2.457804762 
voltage_max 903002000000 0 2.993231667 
residual 933102000000 0 24.276666667 
voltage 933102000000 0 2.955946620 
voltage_min 933102000000 0 2.461571429 
voltage_max 933102000000 0 2.992998333 
residual 963202000000 0 24.253333333 
voltage 963202000000 0 2.955992356 
voltage_min 963202000000 0 2.465338095 
voltage_max 963202000000 0 2.992765000 
residual 993302000000 0 24.230000000 
voltage 993302000000 0 2.956038092 
voltage_min 993302000000 0 2.469104762 
voltage_max 993302000000 0 2.992531667 
residual 1023402000000 0 24.206666667 
voltage 1023402000000 0 2.956083829 
voltage_min 1023402000000 0 2.472871429 
voltage_max 1023402000000 0 2.992298333 
residual 1053502000000 0 24.183333333 
voltage 1053502000000 0 2.956129565 
voltage_min 1053502000000 0 2.476638095 
voltage_max 1053502000000 0 2.992065000 
residual 1083602000000 0 24.160000000 
voltage 1083602000000 0 2.956175302 
voltage_min 1083602000000 0 2.480404762 
voltage_max 1083602000000 0 2.991831667 
residual 1113702000000 0 24.136666667 
voltage 1113702000000 0 2.956221038 
voltage_min 1113702000000 0 2.484171429 
voltage_max 1113702000000 0 2.991598333 
residual 1143802000000 0 24.113333333 
voltage 1143802000000 0 2.956266775 
voltage_min 1143802000000 0 2.487938095 
voltage_max 1143802000000 0 2.991365000 
residual 1173902000000 0 24.090000000 
voltage 1173902000000 0 2.956312511 
voltage_min 1173902000000 0 2.491704762 
voltage_max 1173902000000 0 2.991131667 
residual 1204002000000 0 24.066666667 
voltage 1204002000000 0 2.956358248 
voltage_min 1204002000000 0 2.495471429 
voltage_max 1204002000000 0 2.990898333 
residual 1234102000000 0 24.043333333 
voltage 1234102000000 0 2.956403984 
voltage_min 1234102000000 0 2.499238095 
voltage_max 1234102000000 0 2.990665000 
residual 1264202000000 0 24.020000000 
voltage 1264202000000 0 2.956449720 
voltage_min 1264202000000 0 2.503004762 
voltage_max 1264202000000 0 2.990431667 
residual 1294302000000 0 23.996666667 
voltage 1294302000000 0 2.956493164 
voltage_min 1294302000000 0 2.506771429 
voltage_max 1294302000000 0 2.990198333 
residual 1324402000000 0 23.973333333 
voltage 1324402000000 0 2.956402888 
voltage_min 1324402000000 0 2.510100000 
voltage_max 1324402000000 0 2.989965000 
residual 1354502000000 0 23.950000000 
voltage 1354502000000 0 2.956234671 
voltage_min 1354502000000 0 2.510800000 
voltage_max 1354502000000 0 2.989731667 
residual 1384602000000 0 23.926666667 
voltage 1384602000000 0 2.956066453 
voltage_min 1384602000000 0 2.511500000 
voltage_max 1384602000000 0 2.989498333 
residual 1414702000000 0 23.903333333 
voltage 1414702000000 0 2.955898236 
voltage_min 1414702000000 0 2.512200000 
voltage_max 1414702000000 0 2.989265000 
residual 1444802000000 0 23.880000000 
voltage 1444802000000 0 2.955730019 
voltage_min 1444802000000 0 2.512900000 
voltage_max 1444802000000 0 2.989031667 
residual 1474902000000 0 23.856666667 
voltage 1474902000000 0 2.955561802 
voltage_min 1474902000000 0 2.513600000 
voltage_max 1474902000000 0 2.988798333 
residual 1505002000000 0 23.833333333 
voltage 1505002000000 0 2.955393585 
voltage_min 1505002000000 0 2.514300000 
voltage_max 1505002000000 0 2.988565000 
residual 1535102000000 0 23.810000000 
voltage 1535102000000 0 2.955225368 
voltage_min 1535102000000 0 2.515000000 
voltage_max 1535102000000 0 2.988331667 
residual 1565202000000 0 23.786666667 
voltage 1565202000000 0 2.955057151 
voltage_min 1565202000000 0 2.515700000 
voltage_max 1565202000000 0 2.988098333 
residual 1595302000000 0 23.763333333 
voltage 1595302000000 0 2.954888934 
voltage_min 1595302000000 0 2.516400000 
voltage_max 1595302000000 0 2.987865000 
residual 1625402000000 0 23.740000000 
voltage 1625402000000 0 2.954720717 
voltage_min 1625402000000 0 2.517100000 
voltage_max 1625402000000 0 2.987631667 
